"Date","Close","Change"
"10/1/2013","0.924","1.65%"
"11/1/2013","0.937","1.41%"
"12/1/2013","0.9535","1.76%"
"1/1/2014","0.968","1.31%"
"2/1/2014","0.98","1.35%"
"3/1/2014","0.99","1.02%"
"4/1/2014","1.001","1.01%"
"5/1/2014","1.013","1.40%"
"6/1/2014","1.0245","1.04%"
"7/1/2014","1.035","0.73%"
"8/1/2014","1.0435","1.21%"
"9/1/2014","1.064","1.87%"
"10/1/2014","1.074","1.03%"
"11/1/2014","1.092","1.30%"
"12/1/2014","1.555","23.62%"
"1/1/2015","1.5697","15.30%"
"2/1/2015","1.5668","-4.07%"
"3/1/2015","1.5828","-1.11%"
"4/1/2015","1.4737","-2.92%"
"5/1/2015","1.4917","4.34%"
"6/1/2015","1.5568","2.91%"
"7/1/2015","1.5468","-0.53%"
"8/1/2015","1.7918","14.40%"
"9/1/2015","1.7875","1.25%"
"10/1/2015","1.776","-1.27%"
"11/1/2015","1.8402","3.70%"
"12/1/2015","1.8755","2.99%"
"1/1/2016","2.195","14.06%"
"2/1/2016","2.2175","0.35%"
"3/1/2016","2.1455","-6.10%"
"4/1/2016","2.0275","-4.04%"
"5/1/2016","1.9815","2.89%"
"6/1/2016","2.0289","2.20%"
"7/1/2016","2.026","-1.56%"
"8/1/2016","1.999","-1.53%"
"9/1/2016","1.974","-1.86%"
"10/1/2016","1.932","-0.75%"
"11/1/2016","1.988","3.17%"
"12/1/2016","1.981","-0.46%"
"1/1/2017","1.9755","-1.33%"
"2/1/2017","1.9525","-2.30%"
"3/1/2017","1.9195","-0.69%"
"4/1/2017","1.905","-0.24%"
"5/1/2017","1.8982","-0.47%"
"6/1/2017","1.9445","4.12%"
"7/1/2017","1.9835","-0.15%"
"8/1/2017","1.958","-0.52%"
"9/1/2017","1.9744","1.48%"
"10/1/2017","1.993","1.02%"
"11/1/2017","2.0175","1.90%"
"12/1/2017","2.041","-1.94%"
"1/1/2018","2.0198","0.48%"
"2/1/2018","2.007","-1.26%"
"3/1/2018","1.9745","-0.61%"
"4/1/2018","2.0953","2.81%"
"5/1/2018","2.035","0.79%"
"6/1/2018","2.022","-1.51%"
"7/1/2018","2.004","0.18%"
"8/1/2018","2.091","4.83%"
"9/1/2018","2.178","1.49%"
"10/1/2018","2.164","0.33%"
"11/1/2018","2.1538","0.53%"
"12/1/2018","2.164","1.49%"
"1/1/2019","2.1825","-0.76%"
"2/1/2019","2.1774","-0.40%"
"3/1/2019","2.1497","-0.50%"
"4/1/2019","2.149","-1.00%"
"5/1/2019","2.1248","-0.62%"
"6/1/2019","2.1098","-2.46%"
"7/1/2019","2.057","-0.52%"
"8/1/2019","2.1041","3.03%"
"9/1/2019","2.1269","-0.77%"
"10/1/2019","2.0933","-1.16%"
